Postcode,Suburb,State,LS_Accounts,LS_Value,Population,LS_Accounts_Per_Person,LS_Value_Per_Person,Tax_Population,Tax_Median_Income,Tax_Mean_Income
2179,Austral,NSW,102,1295145.62,5404,0.02,239.66,2309,40059,50123
2180,,NSW,1,11237.45,,,,,,
2183,,NSW,1,6292.03,,,,,,
2190,Bankstown,NSW,460,7978691.68,24710,0.02,322.89,10503,35374,43925
2191,Belfield,NSW,137,2901010.18,6041,0.02,480.22,3041,39962,49945
2192,Belmore,NSW,357,6422651.6,12575,0.03,510.75,6416,37517,43585
2193,Ashbury,NSW,412,9527450.56,13988,0.03,681.12,8250,44059,55000
2194,Campsie,NSW,576,8971596.06,21218,0.03,422.83,11985,33638,39332
2195,Lakemba,NSW,644,9026733.73,25208,0.03,358.09,11278,31840,37033
2196,Punchbowl (Canterbury - NSW),NSW,641,10909512.67,29598,0.02,368.59,14329,36219,42895
2197,Bass Hill,NSW,187,3381492.67,8175,0.02,413.64,3960,38355,45160
2198,Georges Hall,NSW,190,4119806.19,8668,0.02,475.29,4437,40523,50070
2199,Yagoona,NSW,352,5851791.36,16003,0.02,365.67,7513,37638,44280
2200,Bankstown,NSW,861,14648772.08,40612,0.02,360.70,18564,36676,43371
2203,Dulwich Hill,NSW,588,11372318.51,12979,0.05,876.21,8085,50960,61961
2204,Marrickville,NSW,1079,17740100.55,24611,0.04,720.82,14543,47155,58003
2205,Arncliffe,NSW,444,8121494,12847,0.03,632.17,8768,42992,51522
2206,Clemton Park,NSW,501,10244324.75,18318,0.03,559.25,10684,45005,59558
2207,Bardwell Park,NSW,702,14133203.27,27537,0.03,513.24,14941,42744,52451
2208,Kingsgrove,NSW,296,5653962.77,11517,0.03,490.92,6920,41104,52108
2209,Beverly Hills,NSW,365,6364363.85,14619,0.02,435.35,8719,39299,48469
2210,Lugarno,NSW,643,14049593.29,28012,0.02,501.56,15623,40933,53308
2211,Padstow,NSW,393,7736319.97,16212,0.02,477.20,9331,43938,51726
2212,Revesby,NSW,312,6030770.96,14298,0.02,421.79,8126,43706,51058
2213,East Hills,NSW,483,12135062.09,20376,0.02,595.56,11780,46220,56275
2214,Milperra,NSW,97,2358060.31,3844,0.03,613.44,2370,45385,53502
2216,Banksia,NSW,821,13408105.24,26060,0.03,514.51,16355,40639,48978
2217,Beverley Park,NSW,681,12633850.52,23624,0.03,534.79,15543,42595,52756
2218,Allawah,NSW,459,9298708.68,15176,0.03,612.72,9334,41032,48563
2219,Dolls Point,NSW,332,6431476.12,12438,0.03,517.08,7547,46521,62724
2220,Hurstville,NSW,806,15037127.99,28432,0.03,528.88,17326,36241,45269
2221,Blakehurst,NSW,355,8538300.29,15785,0.02,540.91,9883,45024,68124
2222,Penshurst (NSW),NSW,318,5666335.42,11692,0.03,484.63,7291,42111,52077
2223,Mortdale,NSW,492,10758615.97,19806,0.02,543.20,12972,47120,64143
2224,Kangaroo Point (NSW),NSW,320,6705389.59,13430,0.02,499.28,8493,43623,63614
2225,Oyster Bay,NSW,131,2812367.12,5428,0.02,518.12,3378,49881,72184
2226,Bonnet Bay,NSW,282,9788258.99,11874,0.02,824.34,7540,50048,64416
2227,Gymea,NSW,329,10289946.9,14048,0.02,732.48,8753,47505,63114
2228,Miranda (NSW),NSW,463,8924301.91,17601,0.03,507.03,10904,45548,60536
2229,Caringbah,NSW,588,12654271.48,27301,0.02,463.51,17929,47310,72588
2230,Bundeena,NSW,850,17098416.17,26976,0.03,633.84,19272,49777,81251
2231,Kurnell,NSW,71,930884.6,2214,0.03,420.45,1318,46642,60848
2232,Grays Point,NSW,795,17683400.44,31260,0.03,565.69,19588,47739,58981
2233,Engadine,NSW,630,14319550.07,29306,0.02,488.62,17993,47437,56531
2234,Alfords Point,NSW,581,12731660.43,30830,0.02,412.96,20127,48311,62372
2235,,NSW,1,8051.44,,,,,,
2237,,NSW,1,34133.7,,,,,,
2250,Bar Point,NSW,1402,27757589.18,65633,0.02,422.92,37112,40826,50969
2251,Avoca Beach,NSW,621,11982618.92,31836,0.02,376.39,18123,39918,51867
2252,,NSW,1,5811.75,,,,,,
2254,,NSW,1,5555.88,,,,,,
2256,Blackwall (NSW),NSW,349,6108745.2,14974,0.02,407.96,7685,38326,48817
2257,Booker Bay,NSW,632,11274007.09,27647,0.02,407.78,14680,37008,48040
2258,Fountaindale,NSW,117,2681049.18,5107,0.02,524.98,3031,43423,55528
